Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/numericalintegralservice/0/3.14,361,0,160.0,174.21778337950212,131.39560000000472,363.52130000000216,196.0,1.3887065004830659,0.0,160,160,180,210,250,280,310,320,360,360,360
,Aggregated,361,0,160.0,174.21778337950212,131.39560000000472,363.52130000000216,196.0,1.3887065004830659,0.0,160,160,180,210,250,280,310,320,360,360,360
