Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1737120848,3,,Aggregated,1.500000,0.000000,160,170,170,170,210,300,310,310,310,310,310,29,0,160.0,176.22717241379323,151.79950000000275,314.7195000000025,196.0
1737120849,3,,Aggregated,1.400000,0.000000,160,170,170,170,300,320,320,320,320,320,320,31,0,160.0,185.24134193548414,151.79950000000275,316.63610000000375,196.0
1737120850,3,,Aggregated,1.400000,0.000000,160,170,170,170,300,320,320,320,320,320,320,31,0,160.0,185.24134193548414,151.79950000000275,316.63610000000375,196.0
1737120851,3,,Aggregated,1.300000,0.000000,170,170,170,210,300,320,320,320,320,320,320,33,0,170.0,190.91085454545495,151.79950000000275,316.63610000000375,196.0
1737120852,3,,Aggregated,1.300000,0.000000,170,170,170,210,300,320,320,320,320,320,320,34,0,160.0,189.84354117647095,151.79950000000275,316.63610000000375,196.0
1737120853,3,,Aggregated,1.500000,0.000000,170,170,210,230,300,320,320,320,320,320,320,36,0,170.0,192.49253888888924,151.79950000000275,316.63610000000375,196.0
1737120854,3,,Aggregated,1.500000,0.000000,170,170,210,230,300,320,320,320,320,320,320,37,0,170.0,191.44874324324363,151.79950000000275,316.63610000000375,196.0
1737120855,3,,Aggregated,1.600000,0.000000,160,170,210,230,300,320,320,320,320,320,320,39,0,160.0,189.6806769230771,151.79950000000275,316.63610000000375,196.0
1737120856,3,,Aggregated,1.400000,0.000000,160,170,210,230,300,320,320,320,320,320,320,40,0,160.0,188.9068625000003,151.79950000000275,316.63610000000375,196.0
1737120857,3,,Aggregated,1.400000,0.000000,160,170,170,210,290,310,320,320,320,320,320,41,0,160.0,188.0484658536588,151.79950000000275,316.63610000000375,196.0
1737120858,3,,Aggregated,1.300000,0.000000,160,170,170,210,290,310,320,320,320,320,320,42,0,160.0,187.42238095238113,151.79950000000275,316.63610000000375,196.0
1737120859,3,,Aggregated,1.400000,0.000000,160,170,200,210,290,310,320,320,320,320,320,45,0,160.0,187.60085555555588,151.79950000000275,316.63610000000375,196.0
1737120860,3,,Aggregated,1.400000,0.000000,160,170,200,210,290,310,320,320,320,320,320,45,0,160.0,187.60085555555588,151.79950000000275,316.63610000000375,196.0
1737120861,3,,Aggregated,1.300000,0.000000,160,170,200,210,290,310,320,320,320,320,320,47,0,160.0,186.42382553191504,151.79950000000275,316.63610000000375,196.0
1737120862,3,,Aggregated,1.400000,0.000000,160,170,200,210,290,310,320,320,320,320,320,48,0,160.0,185.77475000000018,151.79950000000275,316.63610000000375,196.0
1737120863,3,,Aggregated,1.600000,0.000000,160,170,170,210,290,310,320,320,320,320,320,50,0,160.0,184.7470700000002,151.79950000000275,316.63610000000375,196.0
1737120864,3,,Aggregated,1.300000,0.000000,160,170,170,210,270,310,320,320,320,320,320,52,0,160.0,183.8418384615387,151.79950000000275,316.63610000000375,196.0
1737120865,3,,Aggregated,1.200000,0.000000,160,170,170,210,270,310,320,320,320,320,320,54,0,160.0,183.24386851851875,151.79950000000275,316.63610000000375,196.0
1737120866,3,,Aggregated,1.500000,0.000000,160,170,170,210,270,310,320,320,320,320,320,55,0,160.0,184.00683454545486,151.79950000000275,316.63610000000375,196.0
1737120867,3,,Aggregated,1.500000,0.000000,160,170,170,210,270,310,320,320,320,320,320,55,0,160.0,184.00683454545486,151.79950000000275,316.63610000000375,196.0
1737120868,3,,Aggregated,1.500000,0.000000,160,170,200,210,270,310,320,320,320,320,320,57,0,160.0,186.18567368421094,151.79950000000275,316.63610000000375,196.0
1737120869,3,,Aggregated,1.400000,0.000000,160,170,200,210,270,310,320,320,320,320,320,58,0,160.0,185.64494137931078,151.79950000000275,316.63610000000375,196.0
1737120870,3,,Aggregated,1.400000,0.000000,160,170,200,210,270,310,320,320,320,320,320,59,0,160.0,185.34265762711905,151.79950000000275,316.63610000000375,196.0
1737120871,3,,Aggregated,1.600000,0.000000,160,170,200,210,270,310,320,320,320,320,320,60,0,160.0,184.98052666666703,151.79950000000275,316.63610000000375,196.0
1737120872,3,,Aggregated,1.400000,0.000000,160,170,210,210,250,300,320,320,320,320,320,62,0,160.0,185.72155967741975,151.79950000000275,316.63610000000375,196.0
1737120873,3,,Aggregated,1.400000,0.000000,160,170,210,210,250,300,320,320,320,320,320,62,0,160.0,185.72155967741975,151.79950000000275,316.63610000000375,196.0
1737120874,3,,Aggregated,1.300000,0.000000,160,170,210,210,250,300,320,320,320,320,320,64,0,160.0,184.80725468750043,151.79950000000275,316.63610000000375,196.0
1737120875,3,,Aggregated,1.300000,0.000000,160,170,200,210,250,300,320,320,320,320,320,65,0,160.0,184.50885230769273,151.79950000000275,316.63610000000375,196.0
1737120876,3,,Aggregated,1.200000,0.000000,160,170,210,210,250,300,320,320,320,320,320,66,0,160.0,185.09666212121255,151.79950000000275,316.63610000000375,196.0
1737120877,3,,Aggregated,1.200000,0.000000,160,170,210,210,250,300,320,320,320,320,320,68,0,160.0,185.050966176471,151.79950000000275,316.63610000000375,196.0
